ANIO,MES,DEPARTAMENTO,PROVINCIA,DISTRITO,PRESTADOR,CONEX_ACTIVAS,FECHA_CORTE
2021,202101,TACNA,TACNA,TACNA,EPS TACNA S.A.,87170,20231024
2021,202102,TACNA,TACNA,TACNA,EPS TACNA S.A.,87151,20231024
2021,202103,TACNA,TACNA,TACNA,EPS TACNA S.A.,86880,20231024
2021,202104,TACNA,TACNA,TACNA,EPS TACNA S.A.,86789,20231024
2021,202105,TACNA,TACNA,TACNA,EPS TACNA S.A.,86862,20231024
2021,202106,TACNA,TACNA,TACNA,EPS TACNA S.A.,86302,20231024
2021,202107,TACNA,TACNA,TACNA,EPS TACNA S.A.,86009,20231024
2021,202108,TACNA,TACNA,TACNA,EPS TACNA S.A.,86381,20231024
2021,202109,TACNA,TACNA,TACNA,EPS TACNA S.A.,86023,20231024
2021,202110,TACNA,TACNA,TACNA,EPS TACNA S.A.,86037,20231024
2021,202111,TACNA,TACNA,TACNA,EPS TACNA S.A.,86478,20231024
2021,202112,TACNA,TACNA,TACNA,EPS TACNA S.A.,86490,20231024
2021,202101,LIMA,LIMA,EL AGUSTINO,SEDAPAL,1541166,20231024
2021,202102,LIMA,LIMA,EL AGUSTINO,SEDAPAL,1542110,20231024
2021,202103,LIMA,LIMA,EL AGUSTINO,SEDAPAL,1538711,20231024
2021,202104,LIMA,LIMA,EL AGUSTINO,SEDAPAL,1541464,20231024
2021,202105,LIMA,LIMA,EL AGUSTINO,SEDAPAL,1542872,20231024
2021,202106,LIMA,LIMA,EL AGUSTINO,SEDAPAL,1544092,20231024
2021,202107,LIMA,LIMA,EL AGUSTINO,SEDAPAL,1544841,20231024
2021,202108,LIMA,LIMA,EL AGUSTINO,SEDAPAL,1541395,20231024
2021,202109,LIMA,LIMA,EL AGUSTINO,SEDAPAL,1536541,20231024
2021,202110,LIMA,LIMA,EL AGUSTINO,SEDAPAL,1539531,20231024
2021,202111,LIMA,LIMA,EL AGUSTINO,SEDAPAL,1541494,20231024
2021,202112,LIMA,LIMA,EL AGUSTINO,SEDAPAL,1543892,20231024
2021,202101,LA LIBERTAD,TRUJILLO,TRUJILLO,SEDALIB S.A.,179210,20231024
2021,202102,LA LIBERTAD,TRUJILLO,TRUJILLO,SEDALIB S.A.,178593,20231024
2021,202103,LA LIBERTAD,TRUJILLO,TRUJILLO,SEDALIB S.A.,178922,20231024
2021,202104,LA LIBERTAD,TRUJILLO,TRUJILLO,SEDALIB S.A.,179452,20231024
2021,202105,LA LIBERTAD,TRUJILLO,TRUJILLO,SEDALIB S.A.,180308,20231024
2021,202106,LA LIBERTAD,TRUJILLO,TRUJILLO,SEDALIB S.A.,180390,20231024
2021,202107,LA LIBERTAD,TRUJILLO,TRUJILLO,SEDALIB S.A.,181071,20231024
2021,202108,LA LIBERTAD,TRUJILLO,TRUJILLO,SEDALIB S.A.,181566,20231024
2021,202109,LA LIBERTAD,TRUJILLO,TRUJILLO,SEDALIB S.A.,182090,20231024
2021,202110,LA LIBERTAD,TRUJILLO,TRUJILLO,SEDALIB S.A.,182558,20231024
2021,202111,LA LIBERTAD,TRUJILLO,TRUJILLO,SEDALIB S.A.,183134,20231024
2021,202112,LA LIBERTAD,TRUJILLO,TRUJILLO,SEDALIB S.A.,183342,20231024
2021,202101,LAMBAYEQUE,CHICLAYO,CHICLAYO,EPSEL S.A.,166128,20231024
2021,202102,LAMBAYEQUE,CHICLAYO,CHICLAYO,EPSEL S.A.,166268,20231024
2021,202103,LAMBAYEQUE,CHICLAYO,CHICLAYO,EPSEL S.A.,166359,20231024
2021,202104,LAMBAYEQUE,CHICLAYO,CHICLAYO,EPSEL S.A.,166735,20231024
2021,202105,LAMBAYEQUE,CHICLAYO,CHICLAYO,EPSEL S.A.,166944,20231024
2021,202106,LAMBAYEQUE,CHICLAYO,CHICLAYO,EPSEL S.A.,167116,20231024
2021,202107,LAMBAYEQUE,CHICLAYO,CHICLAYO,EPSEL S.A.,166834,20231024
2021,202108,LAMBAYEQUE,CHICLAYO,CHICLAYO,EPSEL S.A.,166569,20231024
2021,202109,LAMBAYEQUE,CHICLAYO,CHICLAYO,EPSEL S.A.,166356,20231024
2021,202110,LAMBAYEQUE,CHICLAYO,CHICLAYO,EPSEL S.A.,166527,20231024
2021,202111,LAMBAYEQUE,CHICLAYO,CHICLAYO,EPSEL S.A.,166872,20231024
2021,202112,LAMBAYEQUE,CHICLAYO,CHICLAYO,EPSEL S.A.,166795,20231024
2021,202101,AREQUIPA,AREQUIPA,AREQUIPA,SEDAPAR S.A.,302858,20231024
2021,202102,AREQUIPA,AREQUIPA,AREQUIPA,SEDAPAR S.A.,303687,20231024
2021,202103,AREQUIPA,AREQUIPA,AREQUIPA,SEDAPAR S.A.,304313,20231024
2021,202104,AREQUIPA,AREQUIPA,AREQUIPA,SEDAPAR S.A.,305000,20231024
2021,202105,AREQUIPA,AREQUIPA,AREQUIPA,SEDAPAR S.A.,305568,20231024
2021,202106,AREQUIPA,AREQUIPA,AREQUIPA,SEDAPAR S.A.,306041,20231024
2021,202107,AREQUIPA,AREQUIPA,AREQUIPA,SEDAPAR S.A.,306596,20231024
