GERENCIA_SERVICIOS,EQUIPO_COMERCIAL,DEPARTAMENTO,PROVINCIA,DISTRITO,UBIGEO,TARIFA,CONEXIONES_AGUA,CONEXIONES_ALCANTARILLADO,ANIO,MES,FECHA_CORTE
GERENCIA NORTE,CS COMAS,LIMA,LIMA,CARABAYLLO,150106,SOCIAL,366,168,2023,202304,20230505
GERENCIA NORTE,CS COMAS,LIMA,LIMA,CARABAYLLO,150106,DOMESTICO,84204,82265,2023,202304,20230505
GERENCIA NORTE,CS COMAS,LIMA,LIMA,CARABAYLLO,150106,COMERCIAL,1649,1481,2023,202304,20230505
GERENCIA NORTE,CS COMAS,LIMA,LIMA,CARABAYLLO,150106,INDUSTRIAL,696,693,2023,202304,20230505
GERENCIA NORTE,CS COMAS,LIMA,LIMA,CARABAYLLO,150106,ESTATAL,64,11,2023,202304,20230505
GERENCIA NORTE,CS COMAS,LIMA,LIMA,COMAS,150110,SOCIAL,246,158,2023,202304,20230505
GERENCIA NORTE,CS COMAS,LIMA,LIMA,COMAS,150110,DOMESTICO,73648,70673,2023,202304,20230505
GERENCIA NORTE,CS COMAS,LIMA,LIMA,COMAS,150110,COMERCIAL,2330,1971,2023,202304,20230505
GERENCIA NORTE,CS COMAS,LIMA,LIMA,COMAS,150110,INDUSTRIAL,113,115,2023,202304,20230505
GERENCIA NORTE,CS COMAS,LIMA,LIMA,COMAS,150110,ESTATAL,2,2,2023,202304,20230505
GERENCIA NORTE,CS COMAS,LIMA,LIMA,PUENTE PIEDRA,150125,SOCIAL,754,454,2023,202304,20230505
GERENCIA NORTE,CS COMAS,LIMA,LIMA,PUENTE PIEDRA,150125,DOMESTICO,60121,59329,2023,202304,20230505
GERENCIA NORTE,CS COMAS,LIMA,LIMA,PUENTE PIEDRA,150125,COMERCIAL,2169,1994,2023,202304,20230505
GERENCIA NORTE,CS COMAS,LIMA,LIMA,PUENTE PIEDRA,150125,INDUSTRIAL,419,368,2023,202304,20230505
GERENCIA NORTE,CS COMAS,LIMA,LIMA,PUENTE PIEDRA,150125,ESTATAL,8,1,2023,202304,20230505
GERENCIA NORTE,CS COMAS,LIMA,LIMA,RIMAC,150128,SOCIAL,101,45,2023,202304,20230505
GERENCIA NORTE,CS COMAS,LIMA,LIMA,RIMAC,150128,DOMESTICO,26674,21405,2023,202304,20230505
GERENCIA NORTE,CS COMAS,LIMA,LIMA,RIMAC,150128,COMERCIAL,1220,775,2023,202304,20230505
GERENCIA NORTE,CS COMAS,LIMA,LIMA,RIMAC,150128,INDUSTRIAL,55,42,2023,202304,20230505
GERENCIA NORTE,CS COMAS,LIMA,LIMA,RIMAC,150128,ESTATAL,1,1,2023,202304,20230505
GERENCIA NORTE,CS COMAS,LIMA,LIMA,INDEPENDENCIA,150112,SOCIAL,92,74,2023,202304,20230505
GERENCIA NORTE,CS COMAS,LIMA,LIMA,INDEPENDENCIA,150112,DOMESTICO,27521,26691,2023,202304,20230505
GERENCIA NORTE,CS COMAS,LIMA,LIMA,INDEPENDENCIA,150112,COMERCIAL,425,334,2023,202304,20230505
GERENCIA NORTE,CS COMAS,LIMA,LIMA,INDEPENDENCIA,150112,INDUSTRIAL,30,28,2023,202304,20230505
GERENCIA NORTE,CS COMAS,LIMA,LIMA,INDEPENDENCIA,150112,ESTATAL,0,0,2023,202304,20230505
GERENCIA NORTE,CS COMAS,LIMA,LIMA,SAN MARTIN DE PORRES,150135,SOCIAL,152,99,2023,202304,20230505
GERENCIA NORTE,CS COMAS,LIMA,LIMA,SAN MARTIN DE PORRES,150135,DOMESTICO,111527,101215,2023,202304,20230505
GERENCIA NORTE,CS COMAS,LIMA,LIMA,SAN MARTIN DE PORRES,150135,COMERCIAL,5352,4346,2023,202304,20230505
GERENCIA NORTE,CS COMAS,LIMA,LIMA,SAN MARTIN DE PORRES,150135,INDUSTRIAL,398,378,2023,202304,20230505
GERENCIA NORTE,CS COMAS,LIMA,LIMA,SAN MARTIN DE PORRES,150135,ESTATAL,3,3,2023,202304,20230505
GERENCIA NORTE,CS COMAS,LIMA,LIMA,LOS OLIVOS,150117,SOCIAL,75,67,2023,202304,20230505
GERENCIA NORTE,CS COMAS,LIMA,LIMA,LOS OLIVOS,150117,DOMESTICO,50649,48128,2023,202304,20230505
GERENCIA NORTE,CS COMAS,LIMA,LIMA,LOS OLIVOS,150117,COMERCIAL,2770,2200,2023,202304,20230505
GERENCIA NORTE,CS COMAS,LIMA,LIMA,LOS OLIVOS,150117,INDUSTRIAL,320,310,2023,202304,20230505
GERENCIA NORTE,CS COMAS,LIMA,LIMA,LOS OLIVOS,150117,ESTATAL,0,0,2023,202304,20230505
GERENCIA NORTE,CS CALLAO,LIMA,LIMA,ANCON,150102,SOCIAL,492,81,2023,202304,20230505
GERENCIA NORTE,CS CALLAO,LIMA,LIMA,ANCON,150102,DOMESTICO,6273,6120,2023,202304,20230505
GERENCIA NORTE,CS CALLAO,LIMA,LIMA,ANCON,150102,COMERCIAL,128,122,2023,202304,20230505
GERENCIA NORTE,CS CALLAO,LIMA,LIMA,ANCON,150102,INDUSTRIAL,4,4,2023,202304,20230505
GERENCIA NORTE,CS CALLAO,LIMA,LIMA,ANCON,150102,ESTATAL,1,1,2023,202304,20230505
